"","evangelical","attend","prayschool","literal","male","white","coldeg","repubid","age"
"150",0,7,0,1,0,0,0,1,44
"151",0,5,1,1,0,0,0,3,40
"152",0,7,0,1,0,0,0,0,36
"153",0,7,0,0,1,1,0,5,52
"154",1,7,0,1,0,1,0,6,41
"155",0,8,0,1,0,0,0,1,48
"156",0,0,1,0,1,1,0,3,33
"157",0,3,0,0,0,1,0,0,65
"158",0,2,0,0,1,1,0,2,41
"159",0,8,0,0,1,1,1,5,58
"160",0,3,1,0,0,1,1,2,48
"161",0,6,0,1,0,0,0,0,63
"162",1,5,0,1,0,1,0,3,43
"163",0,0,0,0,0,1,0,2,62
"164",0,0,0,0,1,1,1,3,48
"165",0,1,1,0,1,1,1,2,49
"166",1,6,0,0,1,1,1,3,48
"167",0,7,0,0,1,1,0,5,19
"168",0,7,0,1,1,1,0,1,70
"169",1,5,0,1,1,1,0,5,42
"170",0,3,0,0,0,1,0,1,36
"171",0,3,0,0,1,1,0,3,30
"172",0,7,1,0,1,1,0,5,32
"173",0,2,0,0,1,1,0,6,36
"174",0,0,0,0,1,1,0,6,38
"175",0,7,0,0,0,1,1,4,58
"176",0,2,1,0,0,1,1,3,47
"177",0,3,0,0,0,1,0,1,55
"178",0,8,0,1,1,1,1,6,72
"179",0,7,0,0,0,1,0,6,31
"180",0,0,0,0,1,1,0,6,45
"181",0,0,1,0,0,0,1,3,45
"182",0,7,0,0,0,1,0,4,85
"183",0,7,0,0,1,0,1,5,48
"184",0,3.26471028597095,1,0,1,1,0,2.82677301890064,50
"185",0,3,1,0,1,1,0,1,50
"186",0,6,0,1,1,1,1,0,51
"187",0,2,0,0,0,1,1,0,48
"188",0,8,1,0,0,0,0,1,45
"189",0,3,1,0,1,1,1,1,39
"190",0,2,1,0,1,1,1,1,38
"191",0,3,0,0,1,1,1,0,40
"192",0,0,1,0,0,1,1,1,33
"193",0,0,0,0,1,1,0,1,56
"194",0,7,1,0,1,1,1,0,67
"195",0,0,1,0,0,0,0,0,43
"196",0,0,1,0,1,1,1,1,56
"197",0,7,0,1,0,0,0,0,48
"198",1,4,0,1,0,0,0,6,32
"199",0,0,0,0,0,0,0,4,23
"200",0,0,1,1,0,0,0,5,28
"201",0,7,0,1,0,0,0,0,48
"202",0,7,0,1,0,0,0,0,77
"203",0,3,0,0,0,0,0,2,38
"204",0,3,0,0,0,1,1,5,40
"205",1,5,0,0,0,1,1,4,39
"206",0,0,1,0,1,1,1,0,30
"207",0,1,0,0,1,1,0,3,45
"208",0,2,1,0,1,1,1,2,52
"209",0,7,0,0,0,1,0,1,53
"210",0,3,0,0,0,1,0,5,53
"211",0,1,0,0,0,1,1,1,39
"212",0,8,0,0,0,1,0,5,78
"213",0,0,1,0,1,1,0,1,41
"214",0,3,1,0,0,1,1,6,30
"215",0,0,0,0,1,1,0,3,20
"216",0,0,0,0,0,1,0,2,26
"217",0,3,0,0,1,1,0,2,21
"218",0,1,1,0,0,1,0,1,31
"219",0,3,0,0,1,0,0,5,32
"220",1,5,1,0,0,1,1,0,45
"221",0,3,0,0,0,1,0,1,28
"222",0,2,1,1,0,1,0,1,21
"223",0,3,0,0,1,1,0,2,36
"224",0,2,0,0,0,1,0,3,35
"225",1,8,0,0,0,1,0,2,38
"226",0,3,1,0,0,1,1,0,37.9033457249071
"227",0,2,1,0,1,1,1,3,28
"228",0,0,0,0,1,1,0,2,62
"229",1,0,0,0,0,1,0,5,53
"230",0,3.26471028597095,0,0,1,0,0,1,27
"231",0,0,1,0,1,1,0,2,45
"232",0,0,0,1,1,1,1,1,46
"233",0,0,0,1,0,1,0,0,82
"234",0,2,0,0,1,1,0,2,56
"235",0,0,0,0,0,1,0,2,42
"236",0,0,0,0,0,1,0,3,66
"237",1,7,1,1,1,0,0,6,36
"238",0,1,1,0,1,1,1,0,49
"239",0,0,0,0,0,1,1,0,72
"240",0,8,0,0,0,1,0,3,53
"241",1,7,0,1,0,1,1,5,42
"242",0,1,0,0,1,1,1,6,79
"243",0,5,1,0,0,1,0,6,50
"244",0,2,1,1,0,0,0,1,50
"245",0,5,0,0,1,1,0,5,32
"246",0,1,0,0,0,0,0,0,20
"247",1,1,0,0,1,1,0,2,51
"248",0,7,1,0,1,0,0,1,35
"249",0,7,0,0,1,0,0,1,54
"250",0,7,0,1,0,1,1,0,65
"251",0,6,0,1,0,1,0,4,36
"252",0,4,0,0,0,1,1,0,48
"253",1,6,0,1,0,1,0,6,54
"254",0,3,1,0,0,1,0,0,62
"255",0,1,1,0,1,1,0,4,51
"256",0,3.26471028597095,0,0,0,1,1,5,38
"257",0,0,1,0,1,1,0,5,85
"258",0,0,0,0,1,1,1,6,67
"259",1,7,0,1,0,1,0,6,48
"260",0,2,0,0,1,1,0,3,29
"261",0,3,0,0,1,1,0,2,64
"262",1,0,0,0,1,1,0,3,26
"263",0,0,0,0,0,1,0,1,72
"264",0,3,0,0,1,1,0,6,58
"265",0,0,1,1,0,1,0,1,45
"266",0,7,0,0,0,1,1,3,49
"267",0,5,0,0,1,1,1,3,47
"268",0,2,0,0,1,1,0,4,19
"269",0,3,0,0,0,1,0,1,37
"270",1,7,0,1,0,0,0,3,24
"271",0,1,0,0,1,0,1,3,43
